,2019/09/26 15:18:42.534,0,7,0.0,0
30740000001D88400000000B,2019/09/26 15:18:42.541,0,1,6682.9,0
30740000001D88400000000A,2019/09/26 15:18:42.543,0,1,9459.8,0
30740000001D88400000000B,2019/09/26 15:18:43.149,0,1,6692.6,0
30740000001D88400000000A,2019/09/26 15:18:43.150,0,1,9107.9,0
30740000001D88400000000B,2019/09/26 15:18:43.207,0,1,6758.4,0
30740000001D88400000000A,2019/09/26 15:18:43.208,0,1,9235.4,0
30740000001D88400000000B,2019/09/26 15:18:43.266,0,1,6654.6,0
30740000001D88400000000A,2019/09/26 15:18:43.268,0,1,9268.4,0
30740000001D88400000000B,2019/09/26 15:18:43.350,0,1,6771.8,0
30740000001D88400000000A,2019/09/26 15:18:43.352,0,1,9138.1,0
30740000001D88400000000B,2019/09/26 15:18:44.487,0,1,6721.7,0
30740000001D88400000000A,2019/09/26 15:18:44.488,0,1,9352.8,0
30740000001D88400000000B,2019/09/26 15:18:44.546,0,1,6783.5,0
30740000001D88400000000A,2019/09/26 15:18:44.548,0,1,9269.2,0
30740000001D88400000000B,2019/09/26 15:18:44.607,0,1,6718.2,0
30740000001D88400000000A,2019/09/26 15:18:44.609,0,1,9205.3,0
30740000001D88400000000B,2019/09/26 15:18:45.732,0,1,6760.5,0
30740000001D88400000000A,2019/09/26 15:18:45.732,0,1,9117.4,0
30740000001D88400000000B,2019/09/26 15:18:45.810,0,1,6814.4,0
30740000001D88400000000A,2019/09/26 15:18:45.811,0,1,9225.2,0
30740000001D88400000000B,2019/09/26 15:18:45.887,0,1,6710.9,0
30740000001D88400000000A,2019/09/26 15:18:45.889,0,1,9323.0,0
30740000001D88400000000B,2019/09/26 15:18:47.024,0,1,6812.6,0
30740000001D88400000000A,2019/09/26 15:18:47.026,0,1,9105.6,0
30740000001D88400000000B,2019/09/26 15:18:47.093,0,1,6775.4,0
30740000001D88400000000A,2019/09/26 15:18:47.094,0,1,9215.5,0
30740000001D88400000000B,2019/09/26 15:18:47.174,0,1,6843.0,0
30740000001D88400000000A,2019/09/26 15:18:47.176,0,1,9178.3,0
30740000001D88400000000B,2019/09/26 15:18:48.352,0,1,6690.4,0
30740000001D88400000000A,2019/09/26 15:18:48.354,0,1,9299.9,0
30740000001D88400000000B,2019/09/26 15:18:48.407,0,1,6653.2,0
30740000001D88400000000A,2019/09/26 15:18:48.409,0,1,9193.8,0
30740000001D88400000000B,2019/09/26 15:18:48.464,0,1,6680.5,0
30740000001D88400000000A,2019/09/26 15:18:48.464,0,1,9353.3,0
30740000001D88400000000B,2019/09/26 15:18:49.587,0,1,6555.1,0
30740000001D88400000000A,2019/09/26 15:18:49.587,0,1,9552.2,0
30740000001D88400000000B,2019/09/26 15:18:49.665,0,1,6677.3,0
30740000001D88400000000A,2019/09/26 15:18:49.667,0,1,9633.6,0
30740000001D88400000000B,2019/09/26 15:18:49.732,0,1,6751.4,0
30740000001D88400000000A,2019/09/26 15:18:49.734,0,1,9436.6,0
30740000001D88400000000B,2019/09/26 15:18:50.347,0,1,6702.8,0
30740000001D88400000000A,2019/09/26 15:18:50.349,0,1,9540.2,0
30740000001D88400000000B,2019/09/26 15:18:50.407,0,1,6848.4,0
30740000001D88400000000A,2019/09/26 15:18:50.408,0,1,9760.8,0
30740000001D88400000000B,2019/09/26 15:18:50.786,0,1,6462.0,0
30740000001D88400000000A,2019/09/26 15:18:50.787,0,1,8963.6,0
30740000001D88400000000B,2019/09/26 15:18:50.864,0,1,6491.5,0
30740000001D88400000000A,2019/09/26 15:18:50.864,0,1,9083.8,0
30740000001D88400000000B,2019/09/26 15:18:50.954,0,1,6735.0,0
30740000001D88400000000A,2019/09/26 15:18:50.956,0,1,9688.2,0
30740000001D88400000000B,2019/09/26 15:18:51.024,0,1,6718.8,0
30740000001D88400000000A,2019/09/26 15:18:51.025,0,1,9472.7,0
30740000001D88400000000B,2019/09/26 15:18:51.094,0,1,6745.9,0
30740000001D88400000000A,2019/09/26 15:18:51.094,0,1,9544.0,0
30740000001D88400000000B,2019/09/26 15:18:51.693,0,1,6688.9,0
30740000001D88400000000A,2019/09/26 15:18:51.694,0,1,9409.2,0
