,48:34.3,0,7,0,1
30740000001D88400000000A,48:34.3,0,1,9999.9,1
30740000001D88400000000A,48:34.4,0,1,9951.5,1
30740000001D88400000000A,48:34.4,0,1,9874,1
30740000001D88400000000A,48:34.5,0,1,9521.5,1
30740000001D88400000000A,48:34.5,0,1,9198.6,1
30740000001D88400000000A,48:34.6,0,1,9070.2,1
30740000001D88400000000A,48:34.6,0,1,9064.2,1
30740000001D88400000000A,48:34.7,0,1,8985.8,1
30740000001D88400000000A,48:34.7,0,1,8849,1
30740000001D88400000000A,48:34.8,0,1,9356.3,1
30740000001D88400000000A,48:34.8,0,1,9652.4,1
30740000001D88400000000A,48:34.9,0,1,9701.7,1
30740000001D88400000000A,48:34.9,0,1,10034.4,1
30740000001D88400000000A,48:35.0,0,1,10154,1
30740000001D88400000000A,48:35.0,0,1,10748.5,1
30740000001D88400000000A,48:35.1,0,1,10963.5,1
30740000001D88400000000A,48:35.1,0,1,10719.8,1
30740000001D88400000000A,48:35.2,0,1,10717,1
30740000001D88400000000A,48:35.2,0,1,10395.2,1
30740000001D88400000000A,48:35.3,0,1,10323.7,1
30740000001D88400000000A,48:35.3,0,1,10455.6,1
30740000001D88400000000A,48:35.4,0,1,10499.1,1
30740000001D88400000000A,48:35.4,0,1,10530.5,1
30740000001D88400000000A,48:35.5,0,1,10572.2,1
30740000001D88400000000A,48:35.5,0,1,10797.9,1
30740000001D88400000000A,48:35.6,0,1,10599.5,1
30740000001D88400000000A,48:35.6,0,1,10475.1,1
30740000001D88400000000A,48:35.7,0,1,10378.3,1
30740000001D88400000000A,48:35.7,0,1,10401.4,1
30740000001D88400000000A,48:35.8,0,1,10745.7,1
30740000001D88400000000A,48:35.8,0,1,11520.9,1
30740000001D88400000000A,48:35.9,0,1,11967.3,1
30740000001D88400000000A,48:35.9,0,1,12366.7,1
30740000001D88400000000A,48:36.0,0,1,12609.7,1
30740000001D88400000000A,48:36.0,0,1,13025.8,1
30740000001D88400000000A,48:36.1,0,1,12756.6,1
30740000001D88400000000A,48:36.2,0,1,12931.5,1
30740000001D88400000000A,48:36.2,0,1,12747.5,1
30740000001D88400000000A,48:36.2,0,1,12779.3,1
30740000001D88400000000A,48:36.3,0,1,12951.4,1
30740000001D88400000000A,48:36.4,0,1,12949.3,1
30740000001D88400000000A,48:36.4,0,1,13005.4,1
30740000001D88400000000A,48:36.4,0,1,13275.9,1
30740000001D88400000000A,48:36.5,0,1,13308.6,1
30740000001D88400000000A,48:36.5,0,1,13549.4,1
30740000001D88400000000A,48:36.6,0,1,13891.1,1
30740000001D88400000000A,48:36.7,0,1,14163.5,1
30740000001D88400000000A,48:36.7,0,1,14445.4,1
30740000001D88400000000A,48:36.8,0,1,14202.4,1
30740000001D88400000000A,48:36.8,0,1,14433.3,1
30740000001D88400000000A,48:36.9,0,1,14164.3,1
30740000001D88400000000A,48:36.9,0,1,14578.5,1
30740000001D88400000000A,48:37.0,0,1,14783.3,1
30740000001D88400000000A,48:37.0,0,1,15161.8,1
30740000001D88400000000A,48:37.1,0,1,14284.3,1
30740000001D88400000000A,48:37.1,0,1,13655.1,1
30740000001D88400000000A,48:37.2,0,1,13221.3,1
30740000001D88400000000A,48:37.2,0,1,12900.6,1
30740000001D88400000000A,48:37.3,0,1,12372.9,1
30740000001D88400000000A,48:37.3,0,1,11393.1,1
30740000001D88400000000A,48:37.4,0,1,10548.4,1
30740000001D88400000000A,48:37.4,0,1,9867.6,1
30740000001D88400000000A,48:37.5,0,1,9680.9,1
30740000001D88400000000A,48:37.5,0,1,9512.1,1
30740000001D88400000000A,48:37.6,0,1,9144.3,1
30740000001D88400000000A,48:37.6,0,1,9123.1,1
30740000001D88400000000A,48:37.7,0,1,8883.1,1
30740000001D88400000000A,48:37.7,0,1,8903.6,1
30740000001D88400000000A,48:37.8,0,1,8770.8,1
30740000001D88400000000A,48:37.8,0,1,8477.3,1
30740000001D88400000000A,48:37.9,0,1,8451.7,1
30740000001D88400000000A,48:37.9,0,1,8234.5,1
30740000001D88400000000A,48:38.0,0,1,7720.8,1
30740000001D88400000000A,48:38.0,0,1,7722.5,1
30740000001D88400000000A,48:38.1,0,1,7669.7,1
30740000001D88400000000A,48:38.1,0,1,7814.1,1
30740000001D88400000000A,48:38.2,0,1,8263.8,1
30740000001D88400000000A,48:38.2,0,1,8519.2,1
30740000001D88400000000A,48:38.3,0,1,8682.8,1
30740000001D88400000000A,48:38.3,0,1,8729.7,1
30740000001D88400000000A,48:38.4,0,1,8753.9,1
30740000001D88400000000A,48:38.5,0,1,8968.2,1
30740000001D88400000000A,48:38.5,0,1,9028.3,1
30740000001D88400000000A,48:38.6,0,1,9288.7,1
30740000001D88400000000A,48:38.6,0,1,9267.9,1
30740000001D88400000000A,48:38.7,0,1,9762.9,1
30740000001D88400000000A,48:38.7,0,1,9929.2,1
30740000001D88400000000A,48:38.7,0,1,9868.5,1
30740000001D88400000000A,48:38.8,0,1,10044.3,1
30740000001D88400000000A,48:38.8,0,1,10157.7,1
30740000001D88400000000A,48:38.9,0,1,11156.4,1
30740000001D88400000000A,48:39.0,0,1,10820.7,1
30740000001D88400000000A,48:39.0,0,1,10550.5,1
30740000001D88400000000A,48:39.1,0,1,10417.6,1
30740000001D88400000000A,48:39.1,0,1,10127,1
30740000001D88400000000A,48:39.2,0,1,10236.9,1
30740000001D88400000000A,48:39.2,0,1,10171.8,1
30740000001D88400000000A,48:39.3,0,1,9688.8,1
30740000001D88400000000A,48:39.3,0,1,9323.4,1
30740000001D88400000000A,48:39.4,0,1,8654.4,1
30740000001D88400000000A,48:39.4,0,1,8284.9,1
30740000001D88400000000A,48:39.5,0,1,8722.3,1
30740000001D88400000000A,48:39.5,0,1,9216.9,1
30740000001D88400000000A,48:39.6,0,1,9246.6,1
30740000001D88400000000A,48:39.6,0,1,9716.4,1
30740000001D88400000000A,48:39.7,0,1,10215,1
30740000001D88400000000A,48:39.7,0,1,11022.7,1
30740000001D88400000000A,48:39.8,0,1,11885,1
30740000001D88400000000A,48:39.8,0,1,12311.4,1
30740000001D88400000000A,48:39.9,0,1,12867.3,1
30740000001D88400000000A,48:39.9,0,1,13330.9,1
30740000001D88400000000A,48:40.0,0,1,13511.8,1
30740000001D88400000000A,48:40.0,0,1,13618.6,1
30740000001D88400000000A,48:40.1,0,1,14002.4,1
30740000001D88400000000A,48:40.1,0,1,14646.2,1
30740000001D88400000000A,48:40.2,0,1,15306.3,1
30740000001D88400000000A,48:40.2,0,1,15413.7,1
30740000001D88400000000A,48:40.3,0,1,15673.9,1
30740000001D88400000000A,48:40.3,0,1,15634.3,1
30740000001D88400000000A,48:40.4,0,1,15576.7,1
30740000001D88400000000A,48:40.4,0,1,15788,1
30740000001D88400000000A,48:40.5,0,1,15809.6,1
30740000001D88400000000A,48:40.5,0,1,15853.5,1
30740000001D88400000000A,48:40.6,0,1,16024.9,1
30740000001D88400000000A,48:40.6,0,1,16220,1
30740000001D88400000000A,48:40.7,0,1,16295,1
30740000001D88400000000A,48:40.7,0,1,16331.4,1
30740000001D88400000000A,48:40.8,0,1,15500.5,1
30740000001D88400000000A,48:40.8,0,1,14965.6,1
30740000001D88400000000A,48:40.9,0,1,15121.7,1
30740000001D88400000000A,48:40.9,0,1,15537.7,1
30740000001D88400000000A,48:41.0,0,1,15757.6,1
30740000001D88400000000A,48:41.0,0,1,16055.1,1
30740000001D88400000000A,48:41.1,0,1,15797.9,1
30740000001D88400000000A,48:41.1,0,1,15821.6,1
30740000001D88400000000A,48:41.2,0,1,15766.8,1
30740000001D88400000000A,48:41.2,0,1,15428.5,1
30740000001D88400000000A,48:41.3,0,1,15685.5,1
30740000001D88400000000A,48:41.3,0,1,15766.6,1
